date,forecast_date,actual_anomaly_C,actual_forecast_anomaly_C,predicted_anomaly_C,predicted_temperature_C,extreme_heat_risk
2023-04-09,2023-04-10,-2.157638162564105,-1.336751393333337,-1.2662571575040515,37.642912235829286,False
2023-04-10,2023-04-11,-1.336751393333337,-0.4388547010256474,-0.9611037483935222,37.94806564493982,False
2023-04-11,2023-04-12,-0.4388547010256474,0.09823072205127659,-0.18499925569883618,38.7241701376345,False
2023-04-12,2023-04-13,0.09823072205127659,-0.08144804717949228,0.19822764164662027,39.107397034979954,False
2023-04-13,2023-04-14,-0.08144804717949228,-0.4020960087179546,-0.09671605900895479,38.81245333432438,False
2023-04-14,2023-04-15,-0.4020960087179546,-1.8298971625641087,-0.3964618810142358,38.5127075123191,False
2023-04-15,2023-04-16,-1.8298971625641087,-0.5578426625641058,-1.826642742845775,37.08252665048756,False
2023-04-16,2023-04-17,-0.5578426625641058,0.25380733743589445,-0.21132226642893975,38.6978471269044,False
2023-04-17,2023-04-18,0.25380733743589445,0.765781222051281,0.3847097436303522,39.29387913696369,False
2023-04-18,2023-04-19,0.765781222051281,0.9736122220512797,0.7588318524754484,39.66800124580878,False
2023-04-19,2023-04-20,0.9736122220512797,-0.3384620087179542,0.8743697161760866,39.78353910950942,False
2023-04-20,2023-04-21,-0.3384620087179542,-2.188143893333333,-0.5399351205885203,38.36923427274482,False
2023-04-21,2023-04-22,-2.188143893333333,-2.4027635087179533,-2.2141737643147503,36.694995629018585,False
2023-04-22,2023-04-23,-2.4027635087179533,-2.770417162564101,-2.070482499706941,36.838686893626395,False
2023-04-23,2023-04-24,-2.770417162564101,-2.0770357394871866,-2.4124574849617466,36.49671190837159,False
2023-04-24,2023-04-25,-2.0770357394871866,-2.0210575856410244,-1.613719513609616,37.29544987972372,False
2023-04-25,2023-04-26,-2.0210575856410244,-3.1026207779487223,-1.6931947803293408,37.21597461300399,False
2023-04-26,2023-04-27,-3.1026207779487223,-3.5508668933333354,-2.836064460145825,36.07310493318751,False
2023-04-27,2023-04-28,-3.5508668933333354,-4.9584008548717975,-3.089764498201176,35.81940489513216,False
2023-04-28,2023-04-29,-4.9584008548717975,-6.041118393333335,-4.473333893933456,34.43583549939988,False
2023-04-29,2023-04-30,-6.041118393333335,-6.764210316410264,-5.326031744008302,33.58313764932503,False
2023-04-30,2023-05-01,-6.764210316410264,-6.855601508188585,-5.867094743513875,33.736619187751636,False
2023-05-01,2023-05-02,-6.855601508188585,-6.381181046650127,-5.818759676003428,33.78495425526208,False
2023-05-02,2023-05-03,-6.381181046650127,-6.86171970049628,-5.304140590409593,34.299573340855915,False
2023-05-03,2023-05-04,-6.86171970049628,-5.748845546650124,-5.901421297122561,33.70229263414295,False
2023-05-04,2023-05-05,-5.748845546650124,-5.155604277419357,-4.641260109664286,34.96245382160122,False
2023-05-05,2023-05-06,-5.155604277419357,-3.4764641620347376,-4.242074130839537,35.361639800425976,False
2023-05-06,2023-05-07,-3.4764641620347376,-3.182709431265515,-2.6031698377058663,37.00054409355965,False
2023-05-07,2023-05-08,-3.182709431265515,-2.4897666620347394,-2.6301015868775033,36.97361234438801,False
2023-05-08,2023-05-09,-2.4897666620347394,-2.1782567389578205,-1.9635065150388527,37.64020741622666,False
2023-05-09,2023-05-10,-2.1782567389578205,-0.7913097389578141,-1.7755114576933295,37.82820247357218,False
2023-05-10,2023-05-11,-0.7913097389578141,0.2813490687344853,-0.38626016172578154,39.21745376953973,False
2023-05-11,2023-05-12,0.2813490687344853,0.5347149148883332,0.46001123312818165,40.063725164393695,False
2023-05-12,2023-05-13,0.5347149148883332,0.9571963379652644,0.5115655458214462,40.11527947708696,False
2023-05-13,2023-05-14,0.9571963379652644,0.4866670687344836,0.9031969110309358,40.50691084229645,False
2023-05-14,2023-05-15,0.4866670687344836,-0.3726242774193551,0.3267306763771142,39.93044460764263,False
2023-05-15,2023-05-16,-0.3726242774193551,-0.8453617004962766,-0.478732855806647,39.12498107545886,False
2023-05-16,2023-05-17,-0.8453617004962766,-0.47674754665012387,-0.8023135573091571,38.801400373956355,False
2023-05-17,2023-05-18,-0.47674754665012387,0.1811770687344918,-0.32248334527242256,39.281230585993086,False
2023-05-18,2023-05-19,0.1811770687344918,0.5375091841191022,0.29256525045386395,39.89627918171937,False
2023-05-19,2023-05-20,0.5375091841191022,0.6243505687344921,0.5344332748832286,40.13814720614874,False
2023-05-20,2023-05-21,0.6243505687344921,0.7153769148883384,0.5543578733147855,40.158071804580295,False
2023-05-21,2023-05-22,0.7153769148883384,-0.05481020049628427,0.6323161088427998,40.23603004010831,False
2023-05-22,2023-05-23,-0.05481020049628427,-0.06538773895782413,-0.19171425168443162,39.41199967958108,False
2023-05-23,2023-05-24,-0.06538773895782413,-0.02832366203474379,-0.049441027857544624,39.55427290340796,False
2023-05-24,2023-05-25,-0.02832366203474379,-0.8919878158808956,-0.008552020988673092,39.595161910276836,False
2023-05-25,2023-05-26,-0.8919878158808956,-1.384467085111666,-0.9196510763759858,38.684062854889525,False
2023-05-26,2023-05-27,-1.384467085111666,-1.1034019697270523,-1.2630186149311378,38.340695316334376,False
2023-05-27,2023-05-28,-1.1034019697270523,-0.5046940081885865,-0.8708673215500388,38.73284660971547,False
2023-05-28,2023-05-29,-0.5046940081885865,-0.3784149697270536,-0.3003510870079442,39.30336284425756,False
2023-05-29,2023-05-30,-0.3784149697270536,-1.031545546650129,-0.287415881216617,39.31629805004889,False
2023-05-30,2023-05-31,-1.031545546650129,0.10115664565756077,-0.9959794554953407,38.60773447577017,False
2023-05-31,2023-06-01,0.10115664565756077,4.978188931666672,0.319291765699356,35.02568048787884,False
2023-06-01,2023-06-02,4.978188931666672,4.992666200897439,5.196997552264771,39.90338627444425,True
2023-06-02,2023-06-03,4.992666200897439,4.868605931666671,4.241147622089575,38.94753634426906,True
2023-06-03,2023-06-04,4.868605931666671,3.387357623974367,4.1084512346588244,38.814839956838306,True
2023-06-04,2023-06-05,3.387357623974367,3.0514510085897513,2.583204547585492,37.28959326976498,True
2023-06-05,2023-06-06,3.0514510085897513,4.164441662435898,2.5266299557458276,37.23301867792531,True
2023-06-06,2023-06-07,4.164441662435898,4.658744200897445,3.758117355866619,38.4645060780461,True
2023-06-07,2023-06-08,4.658744200897445,4.707702431666675,4.0537527636628985,38.76014148584238,True
2023-06-08,2023-06-09,4.707702431666675,4.538850623974362,4.006567850327381,38.71295657250686,True
2023-06-09,2023-06-10,4.538850623974362,4.03645620089744,3.820137524294751,38.52652624647423,True
2023-06-10,2023-06-11,4.03645620089744,3.276327162435905,3.328060476790882,38.034449198970364,True
2023-06-11,2023-06-12,3.276327162435905,3.6427522008974407,2.6327024983545515,37.33909122053404,True
2023-06-12,2023-06-13,3.6427522008974407,3.6277649701282115,3.167460647682884,37.87384936986237,True
2023-06-13,2023-06-14,3.6277649701282115,2.951960739358981,3.07882449349387,37.78521321567335,True
2023-06-14,2023-06-15,2.951960739358981,3.184093470128211,2.374661270292483,37.08104999247197,False
2023-06-15,2023-06-16,3.184093470128211,2.826247854743599,2.7521100654524933,37.458498787631974,True
2023-06-16,2023-06-17,2.826247854743599,2.618210816282051,2.3314513041679663,37.037840026347446,False
2023-06-17,2023-06-18,2.618210816282051,2.383511623974364,2.185011492228374,36.89140021440786,False
