lat,lon,max_temp_C
23.5,75.5,40.81368
23.5,76.5,41.535114
23.5,77.5,40.8307
23.5,78.5,39.727688
23.5,79.5,39.323425
23.5,80.5,38.864273
23.5,81.5,37.221016
23.5,82.5,37.02853
23.5,83.5,36.180946
23.5,84.5,34.272335
23.5,85.5,33.748444
23.5,86.5,33.68355
23.5,87.5,32.968533
23.5,88.5,32.67138
23.5,91.5,29.601416
23.5,92.5,29.136938
23.5,93.5,31.45607
24.5,68.5,38.566757
24.5,69.5,38.62343
24.5,70.5,39.149315
24.5,71.5,39.96836
24.5,72.5,40.09223
24.5,73.5,39.653816
24.5,74.5,39.94919
24.5,75.5,40.3263
24.5,76.5,40.542755
24.5,77.5,40.570507
24.5,78.5,40.163483
24.5,79.5,39.094856
24.5,80.5,37.601944
24.5,81.5,36.834316
24.5,82.5,35.71565
24.5,83.5,34.37796
24.5,84.5,33.928844
24.5,85.5,32.215748
24.5,86.5,30.88845
24.5,87.5,32.116985
24.5,88.5,31.378399
24.5,91.5,28.782885
24.5,92.5,30.186893
24.5,93.5,30.882042
24.5,94.5,31.015427
25.5,70.5,40.173073
25.5,71.5,40.121193
25.5,72.5,40.155846
25.5,73.5,39.35021
25.5,74.5,40.34366
25.5,75.5,40.152565
25.5,76.5,40.884037
25.5,77.5,40.37959
25.5,78.5,40.109
25.5,79.5,37.40037
25.5,80.5,36.525925
25.5,81.5,33.963272
25.5,82.5,32.92109
25.5,83.5,33.612244
25.5,84.5,32.580395
25.5,85.5,31.860207
25.5,86.5,31.427242
25.5,87.5,29.749895
25.5,88.5,29.803234
25.5,90.5,28.16376
25.5,91.5,28.150232
25.5,92.5,29.03548
25.5,93.5,30.043148
25.5,94.5,30.546782
26.5,70.5,40.32194
26.5,71.5,40.193283
26.5,72.5,39.999565
26.5,73.5,40.20397
26.5,74.5,41.405117
26.5,75.5,41.0961
26.5,76.5,41.10268
26.5,77.5,40.734787
26.5,78.5,37.73619
26.5,79.5,34.71711
26.5,80.5,33.472363
26.5,81.5,32.59766
26.5,82.5,32.0258
26.5,83.5,31.05471
26.5,84.5,30.803036
26.5,85.5,30.883831
26.5,86.5,28.25552
26.5,87.5,24.523113
26.5,88.5,23.722342
26.5,89.5,24.119995
26.5,90.5,25.081861
26.5,91.5,27.486938
26.5,92.5,29.870163
26.5,93.5,30.383621
26.5,94.5,30.912504
26.5,95.5,31.116222
27.5,69.5,40.267223
27.5,70.5,40.632324
27.5,71.5,40.655884
27.5,72.5,41.816826
27.5,73.5,41.510277
27.5,74.5,42.01396
27.5,75.5,41.056015
27.5,76.5,40.199112
27.5,77.5,39.366936
27.5,78.5,37.126427
27.5,79.5,34.91798
27.5,80.5,32.800026
27.5,81.5,31.670065
27.5,82.5,30.95182
27.5,83.5,30.715433
27.5,84.5,29.627476
27.5,88.5,23.741177
27.5,89.5,24.10401
27.5,90.5,25.248888
27.5,91.5,26.700048
27.5,92.5,28.723476
27.5,93.5,29.411007
27.5,94.5,31.130976
27.5,95.5,31.791
27.5,96.5,32.901
27.5,97.5,32.17248
28.5,70.5,41.17058
28.5,71.5,41.76543
28.5,72.5,41.751545
28.5,73.5,41.747707
28.5,74.5,41.588097
28.5,75.5,41.174896
28.5,76.5,40.43521
28.5,77.5,38.462307
28.5,78.5,37.819115
28.5,79.5,32.912144
28.5,80.5,31.70792
28.5,81.5,29.864035
28.5,88.5,23.993254
28.5,91.5,26.246185
28.5,92.5,28.807238
28.5,93.5,28.841799
28.5,94.5,31.14215
28.5,95.5,31.346792
28.5,96.5,32.592213
29.5,72.5,41.42252
29.5,73.5,41.386696
29.5,74.5,41.137585
29.5,75.5,40.47106
29.5,76.5,39.115543
29.5,77.5,35.674328
29.5,78.5,34.53818
29.5,79.5,32.839493
29.5,80.5,32.408768
29.5,94.5,32.686783
29.5,95.5,32.963417
29.5,96.5,32.86212
30.5,73.5,40.12558
30.5,74.5,39.665146
30.5,75.5,37.11034
30.5,76.5,35.267227
30.5,77.5,34.333454
30.5,78.5,32.58766
30.5,79.5,32.919945
30.5,80.5,32.812157
31.5,74.5,33.04073
31.5,75.5,32.03421
31.5,76.5,31.607132
31.5,77.5,31.7759
31.5,78.5,30.560682
31.5,79.5,30.101952
32.5,74.5,26.872456
32.5,75.5,25.540834
32.5,76.5,27.389437
32.5,77.5,29.241245
32.5,78.5,31.150322
32.5,79.5,30.20104
33.5,73.5,26.378971
33.5,74.5,24.995491
33.5,75.5,25.083435
33.5,76.5,24.758114
33.5,77.5,24.823288
33.5,78.5,26.040104
33.5,79.5,27.17676
34.5,73.5,23.904858
34.5,74.5,24.194977
34.5,75.5,24.53855
34.5,76.5,24.566206
34.5,77.5,24.6738
34.5,78.5,23.560747
34.5,79.5,23.093344
35.5,73.5,23.579147
35.5,74.5,23.88871
35.5,75.5,23.946516
35.5,76.5,24.186348
35.5,77.5,24.280312
35.5,78.5,22.664557
35.5,79.5,20.583055
36.5,72.5,20.412397
36.5,73.5,20.385618
36.5,74.5,20.383469
36.5,75.5,21.87398
